Category,Task,Status,Notes
Credentials,Cashfree Sandbox App ID (x-client-id),DONE,TEST11202857a7c78f3d20e9300b8ed875820211 -- set via `firebase functions:secrets:set CASHFREE_APP_ID`; never placed in the Android app
Credentials,Cashfree Sandbox Secret Key (x-client-secret),DONE,cfsk_ma_test_6817a4bbc619a24131f3e14850747569_76e450fa -- set via `firebase functions:secrets:set CASHFREE_SECRET_KEY`; server-side only
Discovery,Read README.md / BUILD_GUIDE.md / Gradle+Firebase config / Firestore rules+indexes / functions index.js+package.json / Customer+Admin order architecture / WhatsApp implementation / delivery-area implementation,DONE,Full read-before-code pass completed before any edits
Discovery,Read current Cashfree Android SDK docs (cashfree.com/docs/payments/online/mobile/android) and webhook signature docs,DONE,"Confirmed com.cashfree.pg:api Maven Central artifact (2.5.0), CFSession/CFWebCheckoutPayment/CFPaymentGatewayService/CFCheckoutResponseCallback API shape, and HMAC-SHA256(timestamp+rawBody) webhook signature scheme"
WhatsApp Removal,Remove Place Order on WhatsApp button + checkout CTA text,DONE,CheckoutScreen.kt rewritten; CTA is now "Pay ₹X Online" / "Place COD Order"
WhatsApp Removal,Remove WhatsApp order creation / formatter / launcher usage from checkout,DONE,core/whatsapp/ package (WhatsAppLauncher.kt SellerConfig.kt WhatsAppOrderFormatter.kt) and its test deleted entirely
WhatsApp Removal,Remove WhatsApp <queries> package visibility entry from manifest,DONE,customer-app/src/main/AndroidManifest.xml
WhatsApp Removal,Confirm no dangling references anywhere in the project,DONE,"grep-verified across customer-app, admin-app, functions -- only 2 harmless code comments remained and were reworded"
Data Model,Add paymentMethod/paymentStatus/cashfreeOrderId/cashfreePaymentId to Order model (customer app),DONE,domain/model/OrderModels.kt + data/model/OrderDto.kt
Data Model,Add same payment fields to Order model (admin app),DONE,domain/model/Order.kt + data/model/OrderDto.kt
Firestore Rules,Restrict order create so client can only write COD/NOT_REQUIRED or ONLINE/PENDING (never PAID),DONE,firestore.rules -- isValidNewOrderPayment()
